"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"436","Ronny Turiaf","C","31","MIN","31","10","19.5","2.1","3.5",".598","0.0","0.0",".000","2.1","3.5",".598",".598","0.7","1.6",".420","1.8","3.8","5.6","0.8","0.3","1.6","0.8","2.1","4.8","0","13.9",".578",".000",".467","9.6","22.0","15.6","5.7","0.7","6.3","15.7","10.7","0.6","0.9","1.5",".122","-2.3","4.0","1.7","0.6","0","0","0","1","1"
"437","Hedo Turkoglu","SF","34","LAC","38","0","10.3","1.1","2.9",".385","0.6","1.3",".440","0.5","1.6",".339",".486","0.2","0.5",".500","0.3","2.1","2.3","0.9","0.5","0.3","0.4","1.3","3.0","0","11.3",".492",".459",".165","3.2","21.4","12.6","11.9","2.4","2.0","12.0","15.0","0.1","0.7","0.8",".095","-1.9","2.1","0.2","0.2","0","0","1","1","0"
"438","Evan Turner","SF","25","TOT","81","56","30.3","5.4","12.6",".425","0.6","1.9",".321","4.7","10.7",".444",".450","2.6","3.2",".813","0.8","4.3","5.0","3.2","0.8","0.1","2.3","2.4","14.0","0","12.4",".498",".153",".257","2.7","15.7","9.0","17.8","1.3","0.2","14.3","23.2","-0.5","1.8","1.4",".027","-2.4","-1.3","-3.7","-1.0","0","1","1","0","0"
"439","Jeremy Tyler","C","22","NYK","41","0","9.7","1.5","2.8",".517","0.0","0.0",".000","1.5","2.8",".517",".517","0.6","1.2",".542","0.9","1.7","2.7","0.2","0.1","0.5","0.6","1.7","3.6","0","13.0",".532",".000",".414","10.9","21.6","16.1","3.3","0.8","4.5","15.9","19.1","0.1","0.4","0.5",".064","-4.3","-0.8","-5.1","-0.3","0","0","0","0","1"
"440","Ekpe Udoh","PF","26","MIL","42","14","19.1","1.4","3.4",".399","0.0","0.0",".000","1.4","3.4",".399",".399","0.7","1.1",".638","1.5","2.1","3.5","0.7","0.4","1.0","0.9","2.3","3.4","0","7.6",".440",".000",".329","8.4","12.8","10.5","5.7","1.0","4.4","18.8","11.4","-0.4","0.4","0.0",".000","-4.7","1.2","-3.5","-0.3","0","0","0","1","1"
"441","Beno Udrih","SG","31","TOT","41","12","15.7","1.9","4.3",".438","0.5","1.0",".452","1.4","3.3",".434",".492","0.6","0.7",".833","0.2","1.2","1.4","2.8","0.6","0.1","1.1","1.2","4.9","1","12.7",".523",".236",".169","1.8","9.2","5.4","28.0","1.9","0.5","19.7","17.2","0.5","0.3","0.8",".061","-1.4","-2.0","-3.4","-0.2","1","0","0","0","0"
"442","Jonas Valanciunas","C","21","TOR","81","81","28.2","4.4","8.3",".531","0.0","0.0",".000","4.4","8.3",".532",".531","2.4","3.2",".762","2.8","6.0","8.8","0.7","0.3","0.9","1.7","3.1","11.3","0","16.1",".579",".001",".385","11.5","25.1","18.2","4.2","0.5","2.5","14.7","18.5","3.5","3.2","6.7",".141","-1.6","0.2","-1.4","0.3","0","0","0","0","1"
"443","Anderson Varejao","C","31","CLE","65","29","27.7","3.5","7.1",".495","0.0","0.1",".000","3.5","7.0",".502",".495","1.4","2.1",".681","2.9","6.8","9.7","2.2","1.1","0.6","1.1","2.5","8.4","1","17.0",".527",".015",".294","11.4","28.2","19.6","12.2","2.0","1.8","12.2","14.6","2.7","2.7","5.4",".144","-0.4","3.0","2.7","2.1","0","0","0","1","1"
"444","Jarvis Varnado","PF","25","TOT","24","0","14.1","1.5","2.5",".600","0.0","0.0",".000","1.5","2.5",".600",".600","1.1","2.2",".519","0.8","1.8","2.6","0.5","0.4","1.2","0.4","2.6","4.1","0","13.3",".597",".000",".867","5.8","14.6","10.0","5.7","1.4","6.8","10.8","11.6","0.5","0.3","0.8",".114","-3.3","2.3","-1.0","0.1","0","0","1","1","0"
"445","Greivis Vasquez","SG-PG","27","TOT","79","23","22.5","3.5","8.3",".421","1.4","3.7",".377","2.1","4.7",".455",".504","1.2","1.4",".880","0.3","1.9","2.2","4.1","0.4","0.1","1.6","1.8","9.6","1","14.1",".537",".439",".164","1.3","10.0","5.6","30.4","0.9","0.2","15.4","21.1","2.4","1.2","3.6",".097","1.2","-2.6","-1.4","0.3","1","1","0","0","0"
