"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"437","John Wall","PG","25","WAS","65","65","36.0","7.5","17.6",".427","1.5","4.3",".342","6.0","13.3",".454",".468","3.6","4.6",".777","0.6","4.2","4.8","9.9","1.9","0.8","4.0","2.1","20.1","0","20.2",".511",".243",".262","1.8","13.7","7.5","46.0","2.6","1.8","17.0","28.9","2.0","2.7","4.6",".095","2.5","0.8","3.3","3.2","1","0","0","0","0"
"438","T.J. Warren","SF","22","PHO","47","4","22.8","4.7","9.4",".501","0.6","1.5",".400","4.1","7.9",".520",".533","1.0","1.4",".703","1.2","1.9","3.1","0.9","0.8","0.3","0.7","2.0","11.0","0","16.0",".549",".159",".145","5.7","9.5","7.5","7.3","1.7","1.2","6.4","20.1","1.7","0.4","2.1",".094","0.4","-1.6","-1.2","0.2","0","0","1","0","0"
"439","C.J. Watson","PG","31","ORL","21","2","20.1","1.3","4.4",".304","0.4","1.7",".229","1.0","2.7",".351",".348","1.2","1.4",".862","0.4","1.8","2.1","2.8","0.7","0.2","0.9","1.2","4.2","0","8.5",".425",".380",".315","2.0","9.8","5.9","18.7","1.8","0.8","14.7","12.8","0.0","0.3","0.3",".034","-3.0","-0.3","-3.3","-0.1","1","0","0","0","0"
"440","Briante Weber","PG","23","MEM","2","2","35.5","2.5","5.5",".455","0.0","1.0",".000","2.5","4.5",".556",".455","1.0","1.0","1.000","2.0","2.5","4.5","5.0","2.0","1.0","1.0","1.5","6.0","0","14.2",".505",".182",".182","6.3","8.2","7.3","20.6","2.9","2.6","14.4","8.9","0.1","0.1","0.2",".122","-0.6","1.9","1.3","0.1","1","0","0","0","0"
"441","Sonny Weems","SG","29","TOT","37","0","11.6","1.0","2.5",".383","0.4","0.9",".394","0.6","1.6",".377",".452","0.2","0.4",".538","0.2","1.0","1.2","1.3","0.3","0.0","1.0","1.1","2.5","0","4.1",".461",".351",".138","1.8","10.0","5.8","15.9","1.1","0.2","27.6","13.8","-0.6","0.1","-0.5","-0.059","-5.4","-1.9","-7.3","-0.6","0","1","1","0","0"
"442","David West","PF","35","SAS","65","17","17.5","3.1","5.6",".560","0.0","0.1",".500","3.1","5.5",".560",".562","0.8","1.0",".794","0.8","3.1","4.0","1.8","0.6","0.6","1.0","1.9","7.0","1","17.6",".587",".011",".175","5.7","19.3","12.8","15.1","1.7","2.8","13.9","18.1","1.9","2.5","4.5",".188","0.0","3.4","3.4","1.6","0","0","0","1","0"
"443","Russell Westbrook","PG","27","OKC","66","66","34.8","8.4","18.4",".458","1.2","4.1",".298","7.2","14.3",".504",".491","6.0","7.3",".825","1.8","5.7","7.5","10.4","2.1","0.3","4.3","2.6","24.1","0","27.9",".557",".224",".395","5.9","17.2","11.8","49.3","3.0","0.6","16.7","31.8","8.5","3.3","11.8",".246","7.7","2.2","9.8","6.9","1","0","0","0","0"
"444","Hassan Whiteside","C","26","MIA","57","40","28.9","5.4","9.0",".602","0.0","0.0",".000","5.4","9.0",".602",".602","2.5","4.0",".617","3.3","8.5","11.8","0.4","0.6","3.9","1.9","2.6","13.3","1","25.0",".618",".000",".441","13.2","32.1","22.9","2.4","1.0","10.5","14.7","20.1","3.3","4.3","7.6",".222","-1.5","4.0","2.5","1.9","0","0","0","0","1"
"445","Shayne Whittington","PF","24","IND","4","0","2.5","0.5","0.8",".667","0.0","0.0",".000","0.5","0.8",".667",".667","0.0","0.0",".000","0.3","0.5","0.8","0.5","0.3","0.3","0.5","0.8","1.0","0","19.9",".667",".000",".000","10.9","21.8","16.3","34.2","5.0","8.0","40.0","21.9","0.0","0.0","0.0",".137","-1.7","8.4","6.7","0.0","0","0","0","0","1"
"446","Andrew Wiggins","SG","20","MIN","65","65","34.9","7.3","16.2",".451","0.6","2.3",".282","6.7","13.9",".479",".471","5.4","7.2",".751","1.4","2.2","3.6","2.0","0.9","0.6","2.3","2.1","20.7","0","16.4",".533",".141",".441","4.7","7.3","6.0","10.0","1.3","1.3","10.5","27.7","2.5","0.4","2.9",".061","0.3","-2.8","-2.5","-0.3","0","1","1","0","0"
"447","C.J. Wilcox","SG","25","LAC","13","0","4.6","0.5","2.1",".259","0.2","0.8",".300","0.3","1.3",".235",".315","0.2","0.2",".667","0.0","0.2","0.2","0.4","0.2","0.1","0.1","0.4","1.5","0","4.6",".335",".370",".111","0.0","5.4","2.7","12.3","2.5","1.3","3.4","22.0","-0.2","0.1","-0.1","-0.074","-6.3","-1.9","-8.2","-0.1","0","1","0","0","0"
"448","Deron Williams","PG","31","DAL","57","55","32.3","4.8","11.8",".410","1.5","4.3",".350","3.3","7.5",".445",".474","2.7","3.1",".872","0.3","2.7","3.0","5.6","0.9","0.2","2.3","2.3","13.9","1","14.4",".528",".366",".266","1.1","9.0","5.1","28.2","1.5","0.5","14.7","21.9","1.8","1.2","3.0",".079","0.9","-1.0","-0.1","0.8","1","0","0","0","0"
"449","Derrick Williams","PF","24","NYK","66","2","16.8","2.9","6.8",".434","0.5","1.8",".258","2.5","5.0",".498",".469","2.5","3.4",".746","0.6","3.0","3.6","0.8","0.4","0.1","0.6","0.8","8.9","1","17.7",".537",".268",".501","3.8","19.3","11.6","8.6","1.2","0.5","7.0","23.9","1.9","0.9","2.9",".123","-0.1","-2.6","-2.7","-0.2","0","0","1","1","0"
"450","Elliot Williams","PG","26","MEM","5","0","9.0","0.4","2.0",".200","0.2","0.8",".250","0.2","1.2",".167",".250","0.6","0.8",".750","0.2","0.6","0.8","0.8","0.0","0.0","0.2","0.4","1.6","0","3.3",".340",".400",".400","2.5","7.8","5.1","12.5","0.0","0.0","7.8","12.9","0.0","0.0","0.0","-0.042","-5.3","-3.4","-8.6","-0.1","0","1","0","0","0"
"451","Lou Williams","SG","29","LAL","59","35","29.2","4.3","10.5",".407","1.6","4.6",".341","2.7","5.9",".458",".482","5.2","6.2",".832","0.4","2.2","2.6","2.6","0.9","0.3","1.6","1.6","15.3","0","17.4",".577",".439",".592","1.6","8.4","4.9","14.9","1.6","0.8","10.8","22.5","3.8","0.1","3.9",".110","2.6","-2.7","0.0","0.9","1","1","0","0","0"
"452","Marvin Williams","PF","29","CHO","65","65","29.1","4.0","8.9",".449","1.8","4.6",".401","2.2","4.3",".500",".553","1.4","1.7",".870","1.6","5.2","6.8","1.3","0.7","1.0","0.8","1.6","11.3","1","16.6",".586",".516",".187","5.8","19.9","12.8","7.4","1.2","2.8","7.5","16.1","3.7","2.6","6.3",".159","1.5","1.2","2.7","2.2","0","0","1","1","0"
"453","Mo Williams","PG","33","CLE","35","14","19.7","3.5","7.9",".439","0.8","2.6",".322","2.7","5.4",".495",".491","1.1","1.2",".905","0.1","1.7","1.9","2.7","0.3","0.1","1.5","1.6","8.9","1","12.3",".524",".324",".151","0.8","9.9","5.4","21.7","0.8","0.6","15.4","22.9","0.4","0.6","1.0",".068","-1.3","-1.9","-3.2","-0.2","1","1","0","0","0"
"454","Justise Winslow","SF","19","MIA","63","8","28.5","2.4","5.7",".427","0.4","1.6",".250","2.0","4.1",".496",".462","1.0","1.4",".685","1.0","4.3","5.3","1.5","0.9","0.4","1.4","2.4","6.2","0","8.1",".494",".279",".249","4.1","16.5","10.5","7.4","1.6","1.0","17.8","12.3","-0.4","2.4","1.9",".052","-2.6","1.9","-0.7","0.6","0","0","1","1","0"
"455","Jeff Withey","C","25","UTA","43","9","13.5","1.7","3.3",".536","0.0","0.0",".000","1.7","3.2",".543",".536","1.0","1.3",".732","1.1","2.3","3.5","0.4","0.4","1.1","0.6","1.5","4.4","0","17.8",".580",".014",".400","9.9","20.2","15.1","5.1","1.7","7.1","14.1","15.2","0.9","1.0","1.9",".161","-1.8","3.6","1.8","0.5","0","0","0","0","1"
"456","Christian Wood","PF","20","PHI","14","0","8.1","1.4","3.1",".442","0.3","0.6",".444","1.1","2.4",".441",".488","0.6","0.9",".692","0.7","1.6","2.3","0.2","0.4","0.4","0.1","0.6","3.6","0","18.8",".523",".209",".302","9.5","21.7","15.5","4.5","2.2","3.3","3.9","19.5","0.2","0.1","0.3",".132","-1.6","-1.2","-2.8","0.0","0","0","0","1","1"
"457","Metta World Peace","SF","36","LAL","25","3","16.6","1.4","4.7",".288","0.7","2.3",".310","0.6","2.4",".267",".364","0.9","1.4",".657","0.6","2.0","2.6","0.9","0.6","0.4","0.4","1.9","4.4","1","7.8",".409",".492",".297","4.0","13.4","8.6","8.1","1.8","1.9","6.3","15.1","-0.2","0.2","0.0",".000","-2.9","-0.7","-3.6","-0.2","0","0","1","1","0"
