"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"17","Carmelo Anthony","SF","32","NYK","13","13","33.1","8.5","17.8",".474","1.9","5.6",".342","6.5","12.2",".535",".528","4.1","4.8",".855","0.8","4.8","5.6","2.8","0.9","0.2","2.1","3.2","22.9","0","21.3",".575",".315",".267","2.8","15.5","9.1","14.8","1.4","0.6","9.4","28.9","1.1","0.2","1.3",".147","4.4","-2.7","1.7","0.4","0","0","1","1","0"
"18","Trevor Ariza","SF","31","HOU","13","13","33.7","4.2","9.7",".429","2.7","7.1",".380","1.5","2.6",".559",".567","1.0","1.2",".813","0.5","4.5","5.0","1.9","2.2","0.2","0.9","1.5","12.0","0","14.6",".586",".730",".127","1.8","15.1","8.4","8.1","3.2","0.6","8.3","14.3","0.7","0.5","1.2",".131","2.6","0.6","3.2","0.6","0","1","1","0","0"
"19","Darrell Arthur","PF","28","DEN","2","0","7.5","1.0","3.0",".333","0.5","1.0",".500","0.5","2.0",".250",".417","0.0","0.0",".000","0.0","2.0","2.0","0.5","0.0","0.0","0.0","1.0","2.5","0","7.0",".417",".333",".000","0.0","27.7","14.3","10.3","0.0","0.0","0.0","16.8","0.0","0.0","0.0",".046","-4.4","-1.8","-6.2","0.0","0","0","0","1","1"
"20","Omer Asik","C","30","NOP","14","10","17.7","1.1","2.4",".441","0.0","0.0",".000","1.1","2.4",".441",".441","0.7","1.4",".526","1.7","4.7","6.4","0.6","0.1","0.5","0.6","1.6","2.9","0","9.1",".472",".000",".559","10.2","28.5","19.2","5.1","0.2","2.3","17.5","9.1","0.1","0.3","0.3",".065","-5.4","1.3","-4.1","-0.1","0","0","0","1","1"
"21","D.J. Augustin","PG","29","ORL","13","0","18.8","3.3","7.9",".417","1.4","4.1",".340","1.9","3.8",".500",".505","1.9","2.2",".893","0.0","0.7","0.7","2.6","0.3","0.0","1.2","0.9","9.9","0","15.3",".559",".515",".272","0.0","4.0","1.9","25.1","0.8","0.0","12.2","24.1","0.4","0.1","0.4",".088","1.7","-5.4","-3.7","-0.1","1","0","0","0","0"
"22","Luke Babbitt","SF","27","MIA","12","8","15.3","1.4","4.4",".321","1.1","3.3",".325","0.3","1.1",".308",".443","0.3","0.3","1.000","0.3","1.7","2.0","0.5","0.3","0.0","0.3","0.8","4.2","1","6.9",".460",".755",".057","2.3","11.7","6.9","4.8","1.1","0.0","6.9","14.0","0.0","0.2","0.2",".052","-1.7","-0.6","-2.3","0.0","0","0","1","0","0"
"23","Ron Baker","SG","23","NYK","4","0","8.5","1.0","3.3",".308","0.5","1.8",".286","0.5","1.5",".333",".385","0.3","0.5",".500","0.3","0.3","0.5","0.5","0.8","0.3","0.3","0.3","2.8","1","10.6",".396",".538",".154","3.2","3.2","3.2","8.4","4.4","2.4","6.7","19.0","0.0","0.0","0.0","-0.004","-1.5","-0.4","-1.9","0.0","0","1","0","0","0"
"24","Wade Baldwin","PG","20","MEM","9","1","15.9","1.2","4.2",".289","0.2","1.0",".222","1.0","3.2",".310",".316","0.4","0.4","1.000","0.4","1.3","1.8","2.4","1.0","0.3","1.6","1.2","3.1","0","6.2",".352",".237",".105","3.2","10.2","6.6","24.4","3.3","2.0","26.0","17.1","-0.4","0.2","-0.1","-0.046","-6.1","2.7","-3.4","-0.1","0","0","0","0","0"
"25","Leandro Barbosa","SG","34","PHO","13","0","12.5","2.5","4.8",".508","0.5","1.1",".429","2.0","3.8",".531",".556","0.4","0.5",".833","0.2","1.0","1.2","1.4","0.4","0.0","0.2","0.8","5.8","0","17.2",".571",".222",".095","1.9","9.0","5.3","17.6","1.4","0.0","3.0","17.3","0.4","0.0","0.5",".138","1.7","-2.6","-1.0","0.0","1","1","0","0","0"
"26","J.J. Barea","PG","32","DAL","9","5","33.1","5.7","13.7",".415","2.0","5.2",".383","3.7","8.4",".434",".488","3.0","3.1",".964","0.4","3.0","3.4","5.4","0.7","0.1","2.0","0.9","16.3","0","18.0",".543",".382",".228","1.4","11.1","5.9","31.9","1.0","0.3","11.7","24.2","0.5","0.2","0.7",".118","1.7","-1.2","0.5","0.2","1","1","0","0","0"
